gene_id	type	motif_min_rank	min_motif_rank	min_q_val	min_enr_fold	min_pi_value	gene_name	description	ath_gene_id	ath_alias	gene_name_figs	Expressed gene	Gene description_DE	P value_DE	Avg_log2(FC)_DE	pct.1_DE	pct.2_DE	Adjusted P value_DE	Cluster_DE
Zm00001d004512	TF	M00153	34.0	0.0017695139911634758	3.216	8.850901533236115	E2F-DP-transcription factor 25	Transcription factor E2FC	AT5G22220	E2FB	E2F-DP-transcription factor 25 (E2FB)	True							
Zm00001d004744	TF	M02288	531.0	0.0017695139911634758	1.3824701195219125	3.804759608373635	MYB-transcription factor 64	Transcription repressor MYB6	AT4G38620	MYB4	MYB-transcription factor 64 (MYB4)	True							
Zm00001d005100	TF	M10438	530.0	0.0017695139911634758	1.3852295409181636	3.81235393892927	prolamin-box binding factor1	RNA binding (RRM/RBD/RNP motifs) family protein	AT3G45630		prolamin-box binding factor1	True							
Zm00001d005208	TF	M00970	136.0	0.0017695139911634758	2.4248366013071894	6.67350435085723	NAC-transcription factor 5	NAC domain-containing protein 2	AT5G63790	NAC102	NAC-transcription factor 5 (NAC102)	True	NAC domain-containing protein 2	0.0	1.21498446580158	0.2	0.032	0.0	BSCs
Zm00001d005244	TF	M01156	326.0	0.0017695139911634758	1.78021978021978	4.899424745722794	bZIP-transcription factor 86	G-box-binding factor 1			bZIP-transcription factor 86	True							
Zm00001d005300	TF	M01277	132.0	0.0017695139911634758	2.4479166666666665	6.737024060396218	MYB-transcription factor 139	Transcription factor MYB44	AT5G67300	MYBR1	MYB-transcription factor 139 (MYBR1)	True							
Zm00001d005692	TF	M02050	317.0	0.0017695139911634758	1.8031746031746032	4.962599769878892	Homeobox-transcription factor 34	Homeobox-leucine zipper protein HAT5	AT1G27045	HB54	Homeobox-transcription factor 34 (HB54)	True							
Zm00001d005750	TF	M00722	229.0	0.0017695139911634758	2.0764331210191083	5.7146471064957325	Zm00001d005750	Transcription factor bHLH69	AT2G24260	LRL1	Zm00001d005750 (LRL1)	True							
Zm00001d005760	TF	M07035	745.0	0.0375804289544236	1.114882506527415	1.5887502350529825	MYB-transcription factor 35	R2R3MYB-domain protein	AT3G47600	MYB94	MYB-transcription factor 35 (MYB94)	True							
Zm00001d005798	TF	M00719	21.0	0.0017695139911634758	3.411552346570397	9.389090141472385	AP2-EREBP-transcription factor 202	Ethylene-responsive transcription factor RAP2-2	AT3G14230	RAP2.2	AP2-EREBP-transcription factor 202 (RAP2.2)	True							
Zm00001d005871	TF	M06805	528.0	0.0017695139911634758	1.3873015873015873	3.818056513093443	Zm00001d005871	Protein SHOOT GRAVITROPISM 5	AT1G68130	IDD14beta	Zm00001d005871 (IDD14beta)	True							
Zm00001d005884	TF	M01056	401.0	0.0017695139911634758	1.5947712418300657	4.389043292747074	bZIP-transcription factor 123	ABSCISIC ACID-INSENSITIVE 5-like protein 5	AT3G19290	AREB2	bZIP-transcription factor 123 (AREB2)	True							
Zm00001d005951	TF	M01251	317.0	0.0017695139911634758	1.8031746031746032	4.962599769878892	Homeobox-transcription factor 54	Homeobox-leucine zipper protein ATHB-6	AT5G65310	HB5	Homeobox-transcription factor 54 (HB5)	True							
Zm00001d005964	TF	M01052	153.0	0.0017695139911634758	2.3661971830985915	6.512120110642505	bHLH-transcription factor 151	Transcription factor bHLH76	AT1G68920		bHLH-transcription factor 151	True							
Zm00001d005969	TF	M01710	239.0	0.0017695139911634758	2.0324324324324325	5.593550787442482	bHLH-transcription factor 157	Transcription factor BIM3	AT1G69010	BIM2	bHLH-transcription factor 157 (BIM2)	True	Transcription factor BIM3	0.0	1.33538320745857	0.2	0.047	0.0	BSCs
Zm00001d006028	TF	M00887	182.0	0.0017695139911634758	2.2257053291536053	6.1254660168959685	SBP-transcription factor 23	Squamosa promoter-binding-like protein 15	AT2G42200	SPL9	SBP-transcription factor 23 (SPL9)	True							
Zm00001d006034	TF	M00008	2.0	0.0017695139911634758	4.383720930232558	12.064640019488369	Zm00001d006034	DNA binding protein	AT2G33620	AHL10	Zm00001d006034 (AHL10)	True							
Zm00001d006035	TF	M00008	2.0	0.0017695139911634758	4.383720930232558	12.064640019488369	Zm00001d006035				Zm00001d006035	True							
Zm00001d006065	TF	M01052	153.0	0.0017695139911634758	2.3661971830985915	6.512120110642505	bHLH-transcription factor 121	Transcription factor bHLH62	AT3G07340		bHLH-transcription factor 121	True							
Zm00001d006091	TF	M07265	344.0	0.0017695139911634758	1.745019920318725	4.802549592125798	SBP-transcription factor 5	Squamosa promoter-binding-like protein 6	AT5G50670	SPL13B	SBP-transcription factor 5 (SPL13B)	True							
Zm00001d006110	TF	M01052	226.0	0.0017695139911634758	2.0989399293286217	5.776589128938184	bHLH-transcription factor 23	Transcription factor bHLH137	AT5G50915		bHLH-transcription factor 23	True							
Zm00001d006165	TF	M00891	5.0	0.0017695139911634758	3.9399293286219086	10.843260738663428	TCP-transcription factor 19	Transcription factor TCP9	AT2G45680	TCP9	TCP-transcription factor 19 (TCP9)	True							
Zm00001d006195	TF	M00865	276.0	0.0017695139911634758	1.936254980079681	5.3288563967423235	Homeobox-transcription factor 126	Homeobox-leucine zipper protein ATHB-12	AT2G46680	HB-7	Homeobox-transcription factor 126 (HB-7)	True							
Zm00001d006236	TF	M02288	531.0	0.0017695139911634758	1.3824701195219125	3.804759608373635	MYB31 transcription factor31	MYB31 transcription factor31	AT4G38620	MYB4	MYB31 transcription factor31 (MYB4)	True							
Zm00001d006293	TF	M07248	357.0	0.0017695139911634758	1.72	4.7336911185218025	NLP-transcription factor 17	NIN-like protein 1	AT1G20640	NLP4	NLP-transcription factor 17 (NLP4)	True							
Zm00001d006463	TF	M01062	3.0	0.0017695139911634758	4.299632352941177	11.83321597792247	C2C2-Dof-transcription factor 34	Dof zinc finger protein DOF1.6	AT1G28310		C2C2-Dof-transcription factor 34	True							
Zm00001d006835	TF	M08104	596.0	0.0017695139911634758	1.2885714285714285	3.546336701749722	CCAAT-HAP2-transcription factor4	Nuclear transcription factor Y subunit A-8	AT1G72830	NF-YA3	CCAAT-HAP2-transcription factor4 (NF-YA3)	True							
Zm00001d006922	TF	M01267	156.0	0.0017695139911634758	2.3562653562653564	6.48478627315926	MYB-transcription factor 7	myb domain protein 88	AT1G14350	MYB124	MYB-transcription factor 7 (MYB124)	True							
Zm00001d006945	TF	M02494	359.0	0.0017695139911634758	1.7138157894736843	4.716671268263959	GeBP-transcription factor 6	Probable transcription factor	AT5G28040		GeBP-transcription factor 6	True							
Zm00001d007188	TF	M00724	486.0	0.0017695139911634758	1.4610591900311527	4.021048204351818	EIL-transcription factor 2	ETHYLENE INSENSITIVE 3-like 2 protein	AT2G27050	EIL1	EIL-transcription factor 2 (EIL1)	True							
Zm00001d007768	TF	M01052	153.0	0.0017695139911634758	2.3661971830985915	6.512120110642505	bHLH-transcription factor 73	Transcription factor BPE	AT1G59640	ZCW32	bHLH-transcription factor 73 (ZCW32)	True							
Zm00001d007842	TF	M01254	354.0	0.0017695139911634758	1.7254335260115607	4.748644975395745	gnarley1	Homeobox protein knotted-1-like 4	AT4G08150	KNAT1	gnarley1 (KNAT1)	True							
Zm00001d007868	TF	M01313	42.0	0.0017695139911634758	3.084427767354597	8.488795539563075	TCP-transcription factor 43	Transcription factor TCP2	AT4G18390	TCP2	TCP-transcription factor 43 (TCP2)	True							
Zm00001d008198	TF	M01078	334.0	0.0017695139911634758	1.7575757575757576	4.8371050893986	MYB-related-transcription factor 2	Putative MYB DNA-binding domain superfamily protein	AT3G16350		MYB-related-transcription factor 2	True							
Zm00001d008205	TF	M00722	229.0	0.0017695139911634758	2.0764331210191083	5.7146471064957325	phytochrome interacting factor3	phytochrome interacting factor3	AT1G09530	POC1	phytochrome interacting factor3 (POC1)	True							
Zm00001d008225	TF	M01784	526.0	0.0017695139911634758	1.3925501432664755	3.832501305393476	bZIP-transcription factor 72	Transcription factor TGA6	AT3G12250	TGA6	bZIP-transcription factor 72 (TGA6)	True							
Zm00001d008251	TF	M00871	155.0	0.0017695139911634758	2.3584229390681	6.490724256037646	MYB-transcription factor 60	Putative MYB DNA-binding domain superfamily protein	AT5G17800	MYB56	MYB-transcription factor 60 (MYB56)	True							
Zm00001d008612	TF	M06905	675.0	0.0019236311239193085	1.2	3.259053845705113	Homeobox-transcription factor 26	Putative homeobox DNA-binding domain superfamily protein	AT2G44920		Homeobox-transcription factor 26	True							
Zm00001d008808	TF	M01078	334.0	0.0017695139911634758	1.7575757575757576	4.8371050893986	MYB-related-transcription factor 24	Putative MYB DNA-binding domain superfamily protein			MYB-related-transcription factor 24	True							
Zm00001d008817	TF	M01290	409.0	0.0017695139911634758	1.5766871165644172	4.339273139749262	NAC-transcription factor 47	NAC domain containing protein 75	AT4G29230	NAC075	NAC-transcription factor 47 (NAC075)	True							
Zm00001d008882	TF	M06986	643.0	0.0017695139911634758	1.2343234323432344	3.3970382959689043	Zea mays MADS2	AGAMOUS-like protein%3B Zea mays MADS2	AT4G18960	AG	Zea mays MADS2 (AG)	True							
Zm00001d008919	TF	M01313	42.0	0.0017695139911634758	3.084427767354597	8.488795539563075	TCP-transcription factor 24	Transcription factor TCP4	AT3G15030	TCP4	TCP-transcription factor 24 (TCP4)	True							
Zm00001d008968	TF	M01604	43.0	0.0017695139911634758	3.056034482758621	8.410653074959798	AP2-EREBP-transcription factor 96	Putative AP2/EREBP transcription factor superfamily protein	AT1G50640	ERF3	AP2-EREBP-transcription factor 96 (ERF3)	True							
Zm00001d009013	TF	M01124	218.0	0.0017695139911634758	2.117088607594937	5.826536941218513	bHLH-transcription factor 99	Putative HLH DNA-binding domain superfamily protein	AT1G01260	JAM2	bHLH-transcription factor 99 (JAM2)	True							
Zm00001d009017	TF	M07248	357.0	0.0017695139911634758	1.72	4.7336911185218025	NLP-transcription factor 4	Protein NLP6	AT1G64530	NLP6	NLP-transcription factor 4 (NLP6)	True							
Zm00001d009088	TF	M00882	614.0	0.0017695139911634758	1.2615384615384615	3.4719380296850426	myb transcription factor95	myb transcription factor95			myb transcription factor95	True							
Zm00001d009089	TF	M00882	614.0	0.0017695139911634758	1.2615384615384615	3.4719380296850426	Zm00001d009089	DTW domain-containing protein	AT5G54880		Zm00001d009089	True							
Zm00001d009090	TF	M00882	614.0	0.0017695139911634758	1.2615384615384615	3.4719380296850426	Zm00001d009090	Transcription factor MYB12	AT2G47460	PFG1	Zm00001d009090 (PFG1)	True	Transcription factor MYB12	0.0	0.452763989323828	0.17	0.07200000000000001	0.001121	BSCs
Zm00001d009091	TF	M00882	614.0	0.0017695139911634758	1.2615384615384615	3.4719380296850426	Zm00001d009091				Zm00001d009091	True							
Zm00001d009103	TF	M00717	60.0	0.0017695139911634758	2.8875379939209727	7.946926137336029	AP2-EREBP-transcription factor 148	Ethylene-responsive factor-like protein 1%3B Putative AP2/EREBP transcription factor superfamily protein	AT2G47520	HRE2	AP2-EREBP-transcription factor 148 (HRE2)	True							
Zm00001d009435	TF	M00876	363.0	0.0017695139911634758	1.7093023255813953	4.704249556670531	MYB-transcription factor 91	Transcription factor MYB86	AT4G01680	MYB55	MYB-transcription factor 91 (MYB55)	True							
Zm00001d010048	TF	M01097	559.0	0.0017695139911634758	1.349624060150376	3.714362457486726	AP2-EREBP-transcription factor 22	Dehydration-responsive element-binding protein 2A	AT5G05410	DREB2A	AP2-EREBP-transcription factor 22 (DREB2A)	True							
Zm00001d010060	TF	M02227	658.0	0.0019236311239193085	1.233502538071066	3.350042658656271	Homeobox-transcription factor 123	BEL1-like homeodomain protein 9	AT5G02030	VAN	Homeobox-transcription factor 123 (VAN)	True							
Zm00001d010168	TF	M01056	591.0	0.0017695139911634758	1.2933025404157044	3.5593574122834326	bZIP-transcription factor 116	G-box-binding factor 4%3B Putative bZIP transcription factor superfamily protein			bZIP-transcription factor 116	True							
Zm00001d010175	TF	M00717	13.0	0.0017695139911634758	3.56	9.797639756940475	AP2-EREBP-transcription factor 113	Ethylene-responsive transcription factor ABR1	AT5G50080	ERF110	AP2-EREBP-transcription factor 113 (ERF110)	True							
Zm00001d010201	TF	M02288	531.0	0.0017695139911634758	1.3824701195219125	3.804759608373635	MYB-transcription factor 25	Transcription repressor MYB6	AT4G38620	MYB4	MYB-transcription factor 25 (MYB4)	True	Transcription repressor MYB6	0.0	1.1917917287408502	0.113	0.015	0.0	BSCs
Zm00001d010232	TF	M06986	643.0	0.0017695139911634758	1.2343234323432344	3.3970382959689043	Zea mays MADS29	Zea mays MADS29	AT5G20240	PI	Zea mays MADS29 (PI)	True							
Zm00001d010233	TF	M06986	643.0	0.0017695139911634758	1.2343234323432344	3.3970382959689043	Zea mays MADS18	Zea mays MADS18	AT5G20240	PI	Zea mays MADS18 (PI)	True							
Zm00001d010234	TF	M06986	643.0	0.0017695139911634758	1.2343234323432344	3.3970382959689043	Zm00001d010234	Probable receptor-like protein kinase	AT1G11050		Zm00001d010234	True							
Zm00001d010309	TF	M00888	377.0	0.0017695139911634758	1.6582278481012658	4.563685137815397	SBP-transcription factor 11	Squamosa promoter-binding protein-like (SBP domain) transcription factor family protein	AT5G18830	SPL7	SBP-transcription factor 11 (SPL7)	True							
Zm00001d010638	TF	M01058	520.0	0.0017695139911634758	1.4092526690391458	3.878469094874273	bZIP-transcription factor 96	ABSCISIC ACID-INSENSITIVE 5-like protein 2	AT3G56850	DPBF3	bZIP-transcription factor 96 (DPBF3)	True							
Zm00001d010713	TF	M01320	369.0	0.0017695139911634758	1.6843971631205674	4.635706913446017	CPP-transcription factor 8	Protein tesmin/TSO1-like CXC 4	AT3G22760	SOL1	CPP-transcription factor 8 (SOL1)	True							
Zm00001d010730	TF	M01313	42.0	0.0017695139911634758	3.084427767354597	8.488795539563075	TCP-transcription factor 7	Transcription factor TCP5	AT5G60970	TCP5	TCP-transcription factor 7 (TCP5)	True							
Zm00001d010740	TF	M01062	3.0	0.0017695139911634758	4.299632352941177	11.83321597792247	C2C2-Dof-transcription factor 44	Dof zinc finger protein DOF1.5	AT2G34140		C2C2-Dof-transcription factor 44	True							
Zm00001d010785	TF	M00727	452.0	0.0017695139911634758	1.5018587360594795	4.133334511720429	C2C2-GATA-transcription factor 32	Putative GATA transcription factor family protein	AT5G25830	GATA12	C2C2-GATA-transcription factor 32 (GATA12)	True							
Zm00001d010948	TF	M01254	354.0	0.0017695139911634758	1.7254335260115607	4.748644975395745	liguleless4	liguleless4	AT1G23380	KNAT6S	liguleless4 (KNAT6S)	True							
Zm00001d010978	TF	M02261	355.0	0.0017695139911634758	1.7223587223587224	4.740182666824444	LBD-transcription factor 39	Putative LOB domain-containing family protein	AT2G28500	LBD11	LBD-transcription factor 39 (LBD11)	True							
Zm00001d011058	TF	M01062	3.0	0.0017695139911634758	4.299632352941177	11.83321597792247	C2C2-Dof-transcription factor 5	Dof zinc finger protein DOF5.1	AT3G55370	OBP3	C2C2-Dof-transcription factor 5 (OBP3)	True							
Zm00001d011223	TF	M06795	482.0	0.0017695139911634758	1.465863453815261	4.0342702397040675	Zm00001d011223	Protein indeterminate-domain 9	AT1G55110	IDD7	Zm00001d011223 (IDD7)	True							
Zm00001d011252	TF	M07033	424.0	0.0017695139911634758	1.5390781563126252	4.235767790260456	single myb histone1	Putative MYB-domain histone H1 family protein	AT1G49950	TRB1	single myb histone1 (TRB1)	True							
Zm00001d011297	TF	M01078	334.0	0.0017695139911634758	1.7575757575757576	4.8371050893986	MYB-related-transcription factor 35	Putative MYB DNA-binding domain superfamily protein	AT5G47390	MYBH	MYB-related-transcription factor 35 (MYBH)	True	Putative MYB DNA-binding domain superfamily protein  	0.0	0.892221398764027	0.135	0.022	0.0	BSCs
Zm00001d011499	TF	M00718	6.0	0.0017695139911634758	3.88599348534202	10.694821423370408	AP2-EREBP-transcription factor 80	Ethylene-responsive transcription factor CRF4	AT1G50640	ERF3	AP2-EREBP-transcription factor 80 (ERF3)	True							
Zm00001d011597	TF	M08108	197.0	0.0017695139911634758	2.1825396825396823	6.006667855267144	E2F-DP-transcription factor 29	Transcription factor-like protein DPA	AT5G03415	DPB	E2F-DP-transcription factor 29 (DPB)	True							
Zm00001d011614	TF	M02700	474.0	0.0017695139911634758	1.4736842105263157	4.055794103996648	MYB-transcription factor 24	Putative MYB DNA-binding domain superfamily protein	AT3G49690	RAX3	MYB-transcription factor 24 (RAX3)	True	Putative MYB DNA-binding domain superfamily protein  	0.0	0.788872991894015	0.47200000000000003	0.003	0.0	Bundle_sheath
Zm00001d011669	TF	M00876	363.0	0.0017695139911634758	1.7093023255813953	4.704249556670531	MYB-transcription factor 124	Putative MYB DNA-binding domain superfamily protein	AT4G01680	MYB55	MYB-transcription factor 124 (MYB55)	True							
Zm00001d011691	TF	M02366	753.0	0.04621837549933422	1.0923423423423424	1.458479463550421	single myb histone3	Homeodomain-like/winged-helix DNA-binding family protein	AT1G17520		single myb histone3	True							
Zm00001d011692	TF	M02366	753.0	0.04621837549933422	1.0923423423423424	1.458479463550421	Zm00001d011692	Glycylpeptide N-tetradecanoyltransferase	AT5G57020	NMT1	Zm00001d011692 (NMT1)	True							
Zm00001d011985	TF	M00891	5.0	0.0017695139911634758	3.9399293286219086	10.843260738663428	TCP-transcription factor 20	Transcription factor TCP11	AT3G27010	TCP20	TCP-transcription factor 20 (TCP20)	True							
Zm00001d012067	TF	M01052	153.0	0.0017695139911634758	2.3661971830985915	6.512120110642505	bHLH-transcription factor 55	Transcription factor bHLH62	AT3G07340		bHLH-transcription factor 55	True							
Zm00001d012128	TF	M00872	560.0	0.0017695139911634758	1.346456692913386	3.705645400417636	ARR-B-transcription factor 7	Putative two-component response regulator family protein	AT2G01760	RR14	ARR-B-transcription factor 7 (RR14)	True							
Zm00001d012180	TF	M06955	661.0	0.0017695139911634758	1.210738255033557	3.3321284445970547	ig1-as2 like1	ig1-as2 like1	AT1G65620	AS2	ig1-as2 like1 (AS2)	True							
Zm00001d012280	TF	M01062	3.0	0.0017695139911634758	4.299632352941177	11.83321597792247	C2C2-Dof-transcription factor 38	Dof zinc finger protein DOF1.2	AT3G52440		C2C2-Dof-transcription factor 38	True							
Zm00001d012296	TF	M01056	401.0	0.0017695139911634758	1.5947712418300657	4.389043292747074	bZIP-transcription factor 75	ABA response element binding factor%3B Putative bZIP transcription factor superfamily protein	AT2G36270	GIA1	bZIP-transcription factor 75 (GIA1)	True							
Zm00001d012379	TF	M01277	141.0	0.0017695139911634758	2.406779661016949	6.623809014880724	MYB-transcription factor 36	myb domain protein 109	AT3G55730	MYB109	MYB-transcription factor 36 (MYB109)	True							
Zm00001d012527	TF	M02368	437.0	0.0017695139911634758	1.5198412698412698	4.1828250701223935	NAC-transcription factor 23	NAC domain-containing protein 2	AT5G08790	ATAF2	NAC-transcription factor 23 (ATAF2)	True	NAC domain-containing protein 2	0.0	0.9200786877125541	0.196	0.062	0.0	BSCs
Zm00001d012544	TF	M01076	166.0	0.0017695139911634758	2.2989417989417986	6.327023474214725	MYB-transcription factor 74	myb domain protein 81	AT3G11440	MYB65	MYB-transcription factor 74 (MYB65)	True							
Zm00001d012553	TF	M01784	526.0	0.0017695139911634758	1.3925501432664755	3.832501305393476	octopine synthase binding factor4	octopine synthase binding factor4	AT5G06950	TGA2	octopine synthase binding factor4 (TGA2)	True							
Zm00001d012584	TF	M01099	76.0	0.0017695139911634758	2.798816568047337	7.702751820079856	AP2-EREBP-transcription factor 29	Putative AP2/EREBP transcription factor superfamily protein	AT1G28360	ERF12	AP2-EREBP-transcription factor 29 (ERF12)	True							
Zm00001d012585	TF	M00719	4.0	0.0017695139911634758	4.015748031496063	11.05192487843856	AP2-EREBP-transcription factor 83	Putative AP2/EREBP transcription factor superfamily protein	AT3G15210	RAP2.5	AP2-EREBP-transcription factor 83 (RAP2.5)	True							
Zm00001d012688	TF	M01320	369.0	0.0017695139911634758	1.6843971631205674	4.635706913446017	CPP-transcription factor 7	Protein tesmin/TSO1-like CXC 5	AT4G29000		CPP-transcription factor 7	True							
Zm00001d012703	TF	M01062	3.0	0.0017695139911634758	4.299632352941177	11.83321597792247	C2C2-Dof-transcription factor 45	Dof zinc finger protein DOF1.5	AT2G34140		C2C2-Dof-transcription factor 45	True							
Zm00001d012725	TF	M01313	67.0	0.0017695139911634758	2.8370607028754	7.808005262737502	TCP-transcription factor 29	Transcription factor TCP4	AT3G15030	TCP4	TCP-transcription factor 29 (TCP4)	True							
Zm00001d012916	TF	M00887	138.0	0.0017695139911634758	2.4213483146067416	6.663904076570737	SBP-transcription factor 6	Squamosa promoter-binding-like protein 1	AT2G47070	SPL1	SBP-transcription factor 6 (SPL1)	True							
Zm00001d012963	TF	M01062	3.0	0.0017695139911634758	4.299632352941177	11.83321597792247	C2C2-Dof-transcription factor 33	Dof zinc finger protein DOF3.6	AT5G02460		C2C2-Dof-transcription factor 33	True							
Zm00001d013003	TF	M02368	437.0	0.0017695139911634758	1.5198412698412698	4.1828250701223935	NAC-transcription factor 60	NAC domain-containing protein 2	AT5G08790	ATAF2	NAC-transcription factor 60 (ATAF2)	True							
