gene_id	type	motif_min_rank	min_motif_rank	min_q_val	min_enr_fold	min_pi_value	gene_name	description	ath_gene_id	ath_alias	gene_name_figs	Expressed gene	Gene description_DE	P value_DE	Avg_log2(FC)_DE	pct.1_DE	pct.2_DE	Adjusted P value_DE	Cluster_DE
Zm00001d002234	TF	M01252	2.0	0.0018040540540540538	5.129411764705883	14.07382585832055	Homeobox-transcription factor 75	Homeodomain leucine zipper family IV protein	AT4G04890	PDF2	Homeobox-transcription factor 75 (PDF2)	True	Homeodomain leucine zipper family IV protein  	0.0	-1.24035408669499	0.065	0.289	0.0	MCs
Zm00001d002429	TF	M02545	717.0	0.04079166666666666	1.185897435897436	1.647719754699145	GRF-transcription factor 8	Putative growth-regulating factor 6			GRF-transcription factor 8	True							
Zm00001d002654	TF	M06795	351.0	0.0018040540540540538	1.6968503937007875	4.655734038138168	naked endosperm1	naked endosperm1	AT2G02070	IDD5	naked endosperm1 (IDD5)	True	 naked endosperm1	0.0	1.01912724636447	0.155	0.002	0.0	MCs
Zm00001d002744	TF	M00843	442.0	0.0018040540540540538	1.5105882352941176	4.144677156441189	AP2-EREBP-transcription factor 6	Dehydration-responsive element-binding protein 1C	AT2G35700	ERF38	AP2-EREBP-transcription factor 6 (ERF38)	True							
Zm00001d002754	TF	M00728	3.0	0.0018040540540540538	4.257028112449799	11.680222816354236	Homeobox-transcription factor 53	Homeobox-leucine zipper protein ATHB-4	AT4G16780	HB-2	Homeobox-transcription factor 53 (HB-2)	True							
Zm00001d002760	TF	M00719	7.0	0.0018040540540540538	3.8699186991869916	10.618091187954974	AP2-EREBP-transcription factor 61	Ethylene-responsive transcription factor ERF105	AT4G17490	ERF6	AP2-EREBP-transcription factor 61 (ERF6)	True							
Zm00001d002762	TF	M00719	7.0	0.0018040540540540538	3.8699186991869916	10.618091187954974	AP2-EREBP-transcription factor 198	Ethylene-responsive transcription factor 2	AT4G17500	ERF-1	AP2-EREBP-transcription factor 198 (ERF-1)	True							
Zm00001d002801	TF	M06968	393.0	0.0018040540540540538	1.6068796068796067	4.408876650948083	Trihelix-transcription factor 12	GT-2-like 1	AT1G76890	GT2	Trihelix-transcription factor 12 (GT2)	True							
Zm00001d002811	TF	M00727	589.0	0.0018040540540540538	1.3026819923371646	3.574234307932298	C2C2-GATA-transcription factor 11	GATA zinc finger family protein	AT5G66320	GATA5	C2C2-GATA-transcription factor 11 (GATA5)	True	GATA zinc finger family protein  	0.0	0.272296983589336	0.138	0.085	0.0	MCs
Zm00001d002829	TF	M00890	329.0	0.0018040540540540538	1.7488151658767772	4.798312405389625	C2C2-YABBY-transcription factor 1	Axial regulator YABBY 1	AT2G45190	YAB1	C2C2-YABBY-transcription factor 1 (YAB1)	True							
Zm00001d003064	TF	M02699	653.0	0.0019690265486725666	1.2234432234432235	3.3103295787824205	MYB-transcription factor 72	R2R3MYB-domain protein	AT3G23250	MYB15	MYB-transcription factor 72 (MYB15)	True							
Zm00001d003176	TF	M07248	265.0	0.0018040540540540538	1.912844036697248	5.248366694177383	NLP-transcription factor 3	Protein NLP8	AT2G43500	NLP8	NLP-transcription factor 3 (NLP8)	True							
Zm00001d003331	TF	M02726	720.0	0.04079166666666666	1.1047904191616766	1.5350273500485772	WRKY-transcription factor 72	Probable WRKY transcription factor 34	AT4G26440	WRKY34	WRKY-transcription factor 72 (WRKY34)	True							
Zm00001d003408	TF	M06986	719.0	0.04079166666666666	1.1144781144781144	1.5484877105040502	MADS-transcription factor 63	Agamous-like MADS-box protein AGL16	AT3G57230	AGL16	MADS-transcription factor 63 (AGL16)	True							
Zm00001d003409	TF	M06986	719.0	0.04079166666666666	1.1144781144781144	1.5484877105040502	MADS-transcription factor 63	Agamous-like MADS-box protein AGL16	AT4G37940	AGL21	MADS-transcription factor 63 (AGL21)	True							
Zm00001d003412	TF	M00876	425.0	0.0018040540540540538	1.550595238095238	4.254446388541157	MYB-transcription factor 49	P-type R2R3 Myb protein	AT5G15310	MYB16	MYB-transcription factor 49 (MYB16)	True							
Zm00001d003414	TF	M00970	18.0	0.0018040540540540538	3.2214765100671134	8.838927637144852	NAC-transcription factor 32	NAC domain-containing protein 79	AT5G61430	NAC100	NAC-transcription factor 32 (NAC100)	True							
Zm00001d003601	TF	M06714	670.0	0.0018040540540540538	1.1632183908045977	3.191580987906605	ABI3-VP1-transcription factor 17	Auxin response factor 6	AT1G59750	ARF1	ABI3-VP1-transcription factor 17 (ARF1)	True							
Zm00001d003836	TF	M01258	162.0	0.0018040540540540538	2.1878612716763004	6.002945357517338	Trihelix-transcription factor 26	aspartate/glutamate/uridylate kinase family protein	AT3G10030		Trihelix-transcription factor 26	True							
Zm00001d003884	TF	M00717	7.0	0.0018040540540540538	3.8699186991869916	10.618091187954974	AP2-EREBP-transcription factor 131		AT5G13330	Rap2.6L	AP2-EREBP-transcription factor 131 (Rap2.6L)	True							
Zm00001d004512	TF	M00153	10.0	0.0018040540540540538	3.555555555555556	9.755557169885803	E2F-DP-transcription factor 25	Transcription factor E2FC	AT5G22220	E2FB	E2F-DP-transcription factor 25 (E2FB)	True							
Zm00001d004744	TF	M02288	724.0	0.051629834254143636	1.126530612244898	1.4499567277003922	MYB-transcription factor 64	Transcription repressor MYB6	AT4G38620	MYB4	MYB-transcription factor 64 (MYB4)	True							
Zm00001d004857	TF	M01163	716.0	0.03360839160839161	1.12	1.6503785435168423	bZIP-transcription factor 23	Transcription factor VIP1	AT1G43700	VIP1	bZIP-transcription factor 23 (VIP1)	True							
Zm00001d005100	TF	M10438	688.0	0.005821220930232558	1.1244897959183673	2.513218858604501	prolamin-box binding factor1	RNA binding (RRM/RBD/RNP motifs) family protein	AT3G45630		prolamin-box binding factor1	True							
Zm00001d005208	TF	M00970	18.0	0.0018040540540540538	3.2214765100671134	8.838927637144852	NAC-transcription factor 5	NAC domain-containing protein 2	AT5G63790	NAC102	NAC-transcription factor 5 (NAC102)	True							
Zm00001d005244	TF	M01156	159.0	0.0018040540540540538	2.1902985074626864	6.009632524312814	bZIP-transcription factor 86	G-box-binding factor 1			bZIP-transcription factor 86	True							
Zm00001d005300	TF	M02327	164.0	0.0018040540540540538	2.183745583038869	5.991652934949737	MYB-transcription factor 139	Transcription factor MYB44	AT5G67300	MYBR1	MYB-transcription factor 139 (MYBR1)	True							
Zm00001d005692	TF	M02050	368.0	0.0018040540540540538	1.6493506493506491	4.525406593011149	Homeobox-transcription factor 34	Homeobox-leucine zipper protein HAT5	AT1G27045	HB54	Homeobox-transcription factor 34 (HB54)	True							
Zm00001d005750	TF	M00722	109.0	0.0018040540540540538	2.357142857142857	6.467411784500187	Zm00001d005750	Transcription factor bHLH69	AT2G24260	LRL1	Zm00001d005750 (LRL1)	True							
Zm00001d005798	TF	M00719	27.0	0.0018040540540540538	2.940959409594096	8.069258715358725	AP2-EREBP-transcription factor 202	Ethylene-responsive transcription factor RAP2-2	AT3G14230	RAP2.2	AP2-EREBP-transcription factor 202 (RAP2.2)	True							
Zm00001d005871	TF	M06805	481.0	0.0018040540540540538	1.4383116883116882	3.9463683478424	Zm00001d005871	Protein SHOOT GRAVITROPISM 5	AT1G68130	IDD14beta	Zm00001d005871 (IDD14beta)	True							
Zm00001d005884	TF	M01056	240.0	0.0018040540540540538	1.9666666666666663	5.396042559593084	bZIP-transcription factor 123	ABSCISIC ACID-INSENSITIVE 5-like protein 5	AT3G19290	AREB2	bZIP-transcription factor 123 (AREB2)	True							
Zm00001d005951	TF	M01251	368.0	0.0018040540540540538	1.6493506493506491	4.525406593011149	Homeobox-transcription factor 54	Homeobox-leucine zipper protein ATHB-6	AT5G65310	HB5	Homeobox-transcription factor 54 (HB5)	True							
Zm00001d005964	TF	M01052	72.0	0.0018040540540540538	2.5357142857142856	6.957367222719897	bHLH-transcription factor 151	Transcription factor bHLH76	AT1G68920		bHLH-transcription factor 151	True							
Zm00001d005969	TF	M01710	138.0	0.0018040540540540538	2.2694444444444444	6.2267892248411725	bHLH-transcription factor 157	Transcription factor BIM3	AT1G69010	BIM2	bHLH-transcription factor 157 (BIM2)	True							
Zm00001d006028	TF	M00887	71.0	0.0018040540540540538	2.543408360128617	6.978477842887562	SBP-transcription factor 23	Squamosa promoter-binding-like protein 15	AT2G42200	SPL9	SBP-transcription factor 23 (SPL9)	True							
Zm00001d006034	TF	M00008	1.0	0.0018040540540540538	5.2771084337349405	14.479068661027801	Zm00001d006034	DNA binding protein	AT2G33620	AHL10	Zm00001d006034 (AHL10)	True	DNA binding protein  	0.0	-0.46563209904881997	0.142	0.213	0.0	MCs
Zm00001d006035	TF	M00008	1.0	0.0018040540540540538	5.2771084337349405	14.479068661027801	Zm00001d006035				Zm00001d006035	True							
Zm00001d006065	TF	M01052	72.0	0.0018040540540540538	2.5357142857142856	6.957367222719897	bHLH-transcription factor 121	Transcription factor bHLH62	AT3G07340		bHLH-transcription factor 121	True							
Zm00001d006091	TF	M07265	287.0	0.0018040540540540538	1.8653061224489795	5.117934520375039	SBP-transcription factor 5	Squamosa promoter-binding-like protein 6	AT5G50670	SPL13B	SBP-transcription factor 5 (SPL13B)	True							
Zm00001d006110	TF	M01052	143.0	0.0018040540540540538	2.2427536231884058	6.153556271901473	bHLH-transcription factor 23	Transcription factor bHLH137	AT5G50915		bHLH-transcription factor 23	True							
Zm00001d006165	TF	M00891	73.0	0.0018040540540540538	2.5342960288808665	6.953475879889272	TCP-transcription factor 19	Transcription factor TCP9	AT2G45680	TCP9	TCP-transcription factor 19 (TCP9)	True							
Zm00001d006195	TF	M00865	296.0	0.0018040540540540538	1.8397626112759644	5.047849499996548	Homeobox-transcription factor 126	Homeobox-leucine zipper protein ATHB-12	AT2G46680	HB-7	Homeobox-transcription factor 126 (HB-7)	True							
Zm00001d006236	TF	M02288	724.0	0.051629834254143636	1.126530612244898	1.4499567277003922	MYB31 transcription factor31	MYB31 transcription factor31	AT4G38620	MYB4	MYB31 transcription factor31 (MYB4)	True							
Zm00001d006293	TF	M07248	265.0	0.0018040540540540538	1.912844036697248	5.248366694177383	NLP-transcription factor 17	NIN-like protein 1	AT1G20640	NLP4	NLP-transcription factor 17 (NLP4)	True	NIN-like protein 1  	0.0	0.639554368381719	0.157	0.055	0.0	MCs
Zm00001d006463	TF	M01062	5.0	0.0018040540540540538	4.078947368421051	11.191613694071291	C2C2-Dof-transcription factor 34	Dof zinc finger protein DOF1.6	AT1G28310		C2C2-Dof-transcription factor 34	True							
Zm00001d006702	TF	M02726	720.0	0.04079166666666666	1.1047904191616766	1.5350273500485772	WRKY-transcription factor 116	Probable WRKY transcription factor 20	AT4G26640	WRKY20	WRKY-transcription factor 116 (WRKY20)	True							
Zm00001d006835	TF	M08104	639.0	0.0018040540540540538	1.2375366568914956	3.3954917642252824	CCAAT-HAP2-transcription factor4	Nuclear transcription factor Y subunit A-8	AT1G72830	NF-YA3	CCAAT-HAP2-transcription factor4 (NF-YA3)	True							
Zm00001d006922	TF	M01267	61.0	0.0018040540540540538	2.6128625472887768	7.169042800442562	MYB-transcription factor 7	myb domain protein 88	AT1G14350	MYB124	MYB-transcription factor 7 (MYB124)	True							
Zm00001d006945	TF	M02494	447.0	0.0018040540540540538	1.5025210084033611	4.122542698996909	GeBP-transcription factor 6	Probable transcription factor	AT5G28040		GeBP-transcription factor 6	True							
Zm00001d007188	TF	M00724	334.0	0.0018040540540540538	1.7348066298342542	4.759876478262652	EIL-transcription factor 2	ETHYLENE INSENSITIVE 3-like 2 protein	AT2G27050	EIL1	EIL-transcription factor 2 (EIL1)	True							
Zm00001d007768	TF	M01052	72.0	0.0018040540540540538	2.5357142857142856	6.957367222719897	bHLH-transcription factor 73	Transcription factor BPE	AT1G59640	ZCW32	bHLH-transcription factor 73 (ZCW32)	True							
Zm00001d007842	TF	M01254	263.0	0.0018040540540540538	1.925595238095238	5.283352808802551	gnarley1	Homeobox protein knotted-1-like 4	AT4G08150	KNAT1	gnarley1 (KNAT1)	True							
Zm00001d007868	TF	M01313	173.0	0.0018040540540540538	2.1615384615384614	5.930722135250287	TCP-transcription factor 43	Transcription factor TCP2	AT4G18390	TCP2	TCP-transcription factor 43 (TCP2)	True							
Zm00001d008198	TF	M01078	308.0	0.0018040540540540538	1.8230088495575218	5.001881358674855	MYB-related-transcription factor 2	Putative MYB DNA-binding domain superfamily protein	AT3G16350		MYB-related-transcription factor 2	True							
Zm00001d008205	TF	M00722	109.0	0.0018040540540540538	2.357142857142857	6.467411784500187	phytochrome interacting factor3	phytochrome interacting factor3	AT1G09530	POC1	phytochrome interacting factor3 (POC1)	True							
Zm00001d008225	TF	M00856	345.0	0.0018040540540540538	1.710948905109489	4.694416835216946	bZIP-transcription factor 72	Transcription factor TGA6	AT3G12250	TGA6	bZIP-transcription factor 72 (TGA6)	True							
Zm00001d008251	TF	M00871	201.0	0.0018040540540540538	2.084095063985375	5.718236778052351	MYB-transcription factor 60	Putative MYB DNA-binding domain superfamily protein	AT5G17800	MYB56	MYB-transcription factor 60 (MYB56)	True							
Zm00001d008612	TF	M06905	596.0	0.0018040540540540538	1.2972972972972974	3.559460048471847	Homeobox-transcription factor 26	Putative homeobox DNA-binding domain superfamily protein	AT2G44920		Homeobox-transcription factor 26	True							
Zm00001d008808	TF	M01078	308.0	0.0018040540540540538	1.8230088495575218	5.001881358674855	MYB-related-transcription factor 24	Putative MYB DNA-binding domain superfamily protein			MYB-related-transcription factor 24	True							
Zm00001d008817	TF	M01290	420.0	0.0018040540540540538	1.5708333333333333	4.309974671539392	NAC-transcription factor 47	NAC domain containing protein 75	AT4G29230	NAC075	NAC-transcription factor 47 (NAC075)	True							
Zm00001d008882	TF	M06986	719.0	0.04079166666666666	1.1144781144781144	1.5484877105040502	Zea mays MADS2	AGAMOUS-like protein%3B Zea mays MADS2	AT4G18960	AG	Zea mays MADS2 (AG)	True							
Zm00001d008919	TF	M01313	173.0	0.0018040540540540538	2.1615384615384614	5.930722135250287	TCP-transcription factor 24	Transcription factor TCP4	AT3G15030	TCP4	TCP-transcription factor 24 (TCP4)	True							
Zm00001d008968	TF	M01604	15.0	0.0018040540540540538	3.3259259259259264	9.12551076933068	AP2-EREBP-transcription factor 96	Putative AP2/EREBP transcription factor superfamily protein	AT1G50640	ERF3	AP2-EREBP-transcription factor 96 (ERF3)	True							
Zm00001d009013	TF	M01124	83.0	0.0018040540540540538	2.493506493506493	6.841559573686146	bHLH-transcription factor 99	Putative HLH DNA-binding domain superfamily protein	AT1G01260	JAM2	bHLH-transcription factor 99 (JAM2)	True							
Zm00001d009017	TF	M07248	265.0	0.0018040540540540538	1.912844036697248	5.248366694177383	NLP-transcription factor 4	Protein NLP6	AT1G64530	NLP6	NLP-transcription factor 4 (NLP6)	True							
Zm00001d009103	TF	M00717	23.0	0.0018040540540540538	2.990712074303405	8.205767611744113	AP2-EREBP-transcription factor 148	Ethylene-responsive factor-like protein 1%3B Putative AP2/EREBP transcription factor superfamily protein	AT2G47520	HRE2	AP2-EREBP-transcription factor 148 (HRE2)	True							
Zm00001d009435	TF	M00876	425.0	0.0018040540540540538	1.550595238095238	4.254446388541157	MYB-transcription factor 91	Transcription factor MYB86	AT4G01680	MYB55	MYB-transcription factor 91 (MYB55)	True							
Zm00001d010048	TF	M01097	501.0	0.0018040540540540538	1.4150579150579152	3.8825657969194407	AP2-EREBP-transcription factor 22	Dehydration-responsive element-binding protein 2A	AT5G05410	DREB2A	AP2-EREBP-transcription factor 22 (DREB2A)	True							
Zm00001d010060	TF	M02227	477.0	0.0018040540540540538	1.4427083333333333	3.958431644616749	Homeobox-transcription factor 123	BEL1-like homeodomain protein 9	AT5G02030	VAN	Homeobox-transcription factor 123 (VAN)	True							
Zm00001d010168	TF	M01056	416.0	0.0018040540540540538	1.5791962174940901	4.332920338752472	bZIP-transcription factor 116	G-box-binding factor 4%3B Putative bZIP transcription factor superfamily protein			bZIP-transcription factor 116	True							
Zm00001d010175	TF	M00717	9.0	0.0018040540540540538	3.556313993174061	9.757638133445932	AP2-EREBP-transcription factor 113	Ethylene-responsive transcription factor ABR1	AT5G50080	ERF110	AP2-EREBP-transcription factor 113 (ERF110)	True							
Zm00001d010201	TF	M02288	724.0	0.051629834254143636	1.126530612244898	1.4499567277003922	MYB-transcription factor 25	Transcription repressor MYB6	AT4G38620	MYB4	MYB-transcription factor 25 (MYB4)	True							
Zm00001d010232	TF	M06986	719.0	0.04079166666666666	1.1144781144781144	1.5484877105040502	Zea mays MADS29	Zea mays MADS29	AT5G20240	PI	Zea mays MADS29 (PI)	True							
Zm00001d010233	TF	M06986	719.0	0.04079166666666666	1.1144781144781144	1.5484877105040502	Zea mays MADS18	Zea mays MADS18	AT5G20240	PI	Zea mays MADS18 (PI)	True							
Zm00001d010234	TF	M06986	719.0	0.04079166666666666	1.1144781144781144	1.5484877105040502	Zm00001d010234	Probable receptor-like protein kinase	AT1G11050		Zm00001d010234	True							
Zm00001d010280	TF	M02313	691.0	0.007716763005780347	1.165680473372781	2.462575579723998	G2-like-transcription factor 3	Putative MYB DNA-binding domain superfamily protein	AT5G05090		G2-like-transcription factor 3	True							
Zm00001d010309	TF	M00888	301.0	0.0018040540540540538	1.8338762214983717	5.031698715371679	SBP-transcription factor 11	Squamosa promoter-binding protein-like (SBP domain) transcription factor family protein	AT5G18830	SPL7	SBP-transcription factor 11 (SPL7)	True							
Zm00001d010638	TF	M01058	404.0	0.0018040540540540538	1.595541401273885	4.3777674441694945	bZIP-transcription factor 96	ABSCISIC ACID-INSENSITIVE 5-like protein 2	AT3G56850	DPBF3	bZIP-transcription factor 96 (DPBF3)	True							
Zm00001d010713	TF	M02520	491.0	0.0018040540540540538	1.4267990074441688	3.9147804244850364	CPP-transcription factor 8	Protein tesmin/TSO1-like CXC 4	AT3G22760	SOL1	CPP-transcription factor 8 (SOL1)	True							
Zm00001d010730	TF	M01313	173.0	0.0018040540540540538	2.1615384615384614	5.930722135250287	TCP-transcription factor 7	Transcription factor TCP5	AT5G60970	TCP5	TCP-transcription factor 7 (TCP5)	True							
Zm00001d010740	TF	M01062	5.0	0.0018040540540540538	4.078947368421051	11.191613694071291	C2C2-Dof-transcription factor 44	Dof zinc finger protein DOF1.5	AT2G34140		C2C2-Dof-transcription factor 44	True							
Zm00001d010785	TF	M00727	589.0	0.0018040540540540538	1.3026819923371646	3.574234307932298	C2C2-GATA-transcription factor 32	Putative GATA transcription factor family protein	AT5G25830	GATA12	C2C2-GATA-transcription factor 32 (GATA12)	True							
Zm00001d010948	TF	M01254	263.0	0.0018040540540540538	1.925595238095238	5.283352808802551	liguleless4	liguleless4	AT1G23380	KNAT6S	liguleless4 (KNAT6S)	True							
Zm00001d010978	TF	M02261	432.0	0.0018040540540540538	1.5289672544080604	4.195104598479702	LBD-transcription factor 39	Putative LOB domain-containing family protein	AT2G28500	LBD11	LBD-transcription factor 39 (LBD11)	True							
Zm00001d011058	TF	M01062	5.0	0.0018040540540540538	4.078947368421051	11.191613694071291	C2C2-Dof-transcription factor 5	Dof zinc finger protein DOF5.1	AT3G55370	OBP3	C2C2-Dof-transcription factor 5 (OBP3)	True							
Zm00001d011223	TF	M06795	351.0	0.0018040540540540538	1.6968503937007875	4.655734038138168	Zm00001d011223	Protein indeterminate-domain 9	AT1G55110	IDD7	Zm00001d011223 (IDD7)	True							
Zm00001d011252	TF	M07033	617.0	0.0018040540540540538	1.271604938271605	3.4889666267299924	single myb histone1	Putative MYB-domain histone H1 family protein	AT1G49950	TRB1	single myb histone1 (TRB1)	True							
Zm00001d011297	TF	M01078	308.0	0.0018040540540540538	1.8230088495575218	5.001881358674855	MYB-related-transcription factor 35	Putative MYB DNA-binding domain superfamily protein	AT5G47390	MYBH	MYB-related-transcription factor 35 (MYBH)	True							
Zm00001d011499	TF	M00718	8.0	0.0018040540540540538	3.6866666666666665	10.115293340525342	AP2-EREBP-transcription factor 80	Ethylene-responsive transcription factor CRF4	AT1G50640	ERF3	AP2-EREBP-transcription factor 80 (ERF3)	True							
Zm00001d011597	TF	M08108	153.0	0.0018040540540540538	2.2105263157894743	6.065132582593478	E2F-DP-transcription factor 29	Transcription factor-like protein DPA	AT5G03415	DPB	E2F-DP-transcription factor 29 (DPB)	True							
Zm00001d011614	TF	M02700	577.0	0.0018040540540540538	1.3143631436314362	3.6062844720995537	MYB-transcription factor 24	Putative MYB DNA-binding domain superfamily protein	AT3G49690	RAX3	MYB-transcription factor 24 (RAX3)	True							
Zm00001d011669	TF	M00876	425.0	0.0018040540540540538	1.550595238095238	4.254446388541157	MYB-transcription factor 124	Putative MYB DNA-binding domain superfamily protein	AT4G01680	MYB55	MYB-transcription factor 124 (MYB55)	True							
Zm00001d011953	TF	M06714	670.0	0.0018040540540540538	1.1632183908045977	3.191580987906605	ARF-transcription factor 25	Auxin response factor 2	AT5G62000	ORE14	ARF-transcription factor 25 (ORE14)	True							
Zm00001d011985	TF	M00891	73.0	0.0018040540540540538	2.5342960288808665	6.953475879889272	TCP-transcription factor 20	Transcription factor TCP11	AT3G27010	TCP20	TCP-transcription factor 20 (TCP20)	True							
Zm00001d012067	TF	M01052	72.0	0.0018040540540540538	2.5357142857142856	6.957367222719897	bHLH-transcription factor 55	Transcription factor bHLH62	AT3G07340		bHLH-transcription factor 55	True							
Zm00001d012128	TF	M00872	524.0	0.0018040540540540538	1.3773584905660377	3.7791279838531677	ARR-B-transcription factor 7	Putative two-component response regulator family protein	AT2G01760	RR14	ARR-B-transcription factor 7 (RR14)	True							
Zm00001d012180	TF	M06955	683.0	0.0038978102189781024	1.1703296703296704	2.81953402778699	ig1-as2 like1	ig1-as2 like1	AT1G65620	AS2	ig1-as2 like1 (AS2)	True							
Zm00001d012280	TF	M01062	5.0	0.0018040540540540538	4.078947368421051	11.191613694071291	C2C2-Dof-transcription factor 38	Dof zinc finger protein DOF1.2	AT3G52440		C2C2-Dof-transcription factor 38	True							
Zm00001d012296	TF	M01056	240.0	0.0018040540540540538	1.9666666666666663	5.396042559593084	bZIP-transcription factor 75	ABA response element binding factor%3B Putative bZIP transcription factor superfamily protein	AT2G36270	GIA1	bZIP-transcription factor 75 (GIA1)	True							
Zm00001d012379	TF	M02327	165.0	0.0018040540540540538	2.180555555555556	5.982900295594028	MYB-transcription factor 36	myb domain protein 109	AT3G55730	MYB109	MYB-transcription factor 36 (MYB109)	True							
Zm00001d012527	TF	M02368	358.0	0.0018040540540540538	1.6842105263157894	4.621053396261696	NAC-transcription factor 23	NAC domain-containing protein 2	AT5G08790	ATAF2	NAC-transcription factor 23 (ATAF2)	True							
Zm00001d012544	TF	M01076	172.0	0.0018040540540540538	2.1698113207547167	5.953420796481017	MYB-transcription factor 74	myb domain protein 81	AT3G11440	MYB65	MYB-transcription factor 74 (MYB65)	True							
Zm00001d012553	TF	M00856	345.0	0.0018040540540540538	1.710948905109489	4.694416835216946	octopine synthase binding factor4	octopine synthase binding factor4	AT5G06950	TGA2	octopine synthase binding factor4 (TGA2)	True							
Zm00001d012584	TF	M01099	111.0	0.0018040540540540538	2.351515151515152	6.451970764629021	AP2-EREBP-transcription factor 29	Putative AP2/EREBP transcription factor superfamily protein	AT1G28360	ERF12	AP2-EREBP-transcription factor 29 (ERF12)	True							
Zm00001d012585	TF	M00719	7.0	0.0018040540540540538	3.8699186991869916	10.618091187954974	AP2-EREBP-transcription factor 83	Putative AP2/EREBP transcription factor superfamily protein	AT3G15210	RAP2.5	AP2-EREBP-transcription factor 83 (RAP2.5)	True							
Zm00001d012688	TF	M02520	491.0	0.0018040540540540538	1.4267990074441688	3.9147804244850364	CPP-transcription factor 7	Protein tesmin/TSO1-like CXC 5	AT4G29000		CPP-transcription factor 7	True							
Zm00001d012703	TF	M01062	5.0	0.0018040540540540538	4.078947368421051	11.191613694071291	C2C2-Dof-transcription factor 45	Dof zinc finger protein DOF1.5	AT2G34140		C2C2-Dof-transcription factor 45	True							
Zm00001d012725	TF	M01313	188.0	0.0018040540540540538	2.1201298701298703	5.817107293772207	TCP-transcription factor 29	Transcription factor TCP4	AT3G15030	TCP4	TCP-transcription factor 29 (TCP4)	True							
Zm00001d012731	TF	M06714	670.0	0.0018040540540540538	1.1632183908045977	3.191580987906605	ARF-transcription factor 26	Auxin response factor 3	AT2G33860	ETT	ARF-transcription factor 26 (ETT)	True							
Zm00001d012916	TF	M00887	53.0	0.0018040540540540538	2.7052023121387285	7.422400072174676	SBP-transcription factor 6	Squamosa promoter-binding-like protein 1	AT2G47070	SPL1	SBP-transcription factor 6 (SPL1)	True							
Zm00001d012963	TF	M01062	5.0	0.0018040540540540538	4.078947368421051	11.191613694071291	C2C2-Dof-transcription factor 33	Dof zinc finger protein DOF3.6	AT5G02460		C2C2-Dof-transcription factor 33	True							
Zm00001d013003	TF	M02368	358.0	0.0018040540540540538	1.6842105263157894	4.621053396261696	NAC-transcription factor 60	NAC domain-containing protein 2	AT5G08790	ATAF2	NAC-transcription factor 60 (ATAF2)	True	NAC domain-containing protein 2	0.0	0.49663391201749696	0.26899999999999996	0.19	0.0	MCs
